Step,"field=1,degree=1",,,"field=1,degree=2"
0,0.643664479,,,0.614913642
1,0.821557581,,,0.803658903
2,0.835469246,,,0.765977681
3,0.792380214,,,0.701666296
4,0.803988576,,,0.426094234
5,0.410950661,,,0
6,0.752322912,,,0.568380237
7,0.878675818,,,0.856694341
8,0.950365365,,,1.004111052
9,0.767434955,,,0.772578716
10,0.592490673,,,0.495882392
11,0.669334769,,,0.666189373
12,0.911842585,,,0.857373118
13,0.850511551,,,0.668018103
14,0.713957191,,,0.452186555
15,0.698893189,,,0.313961208
16,0.484440297,,,0
17,0.68749094,,,0.407899618
18,0.636300564,,,0.589565098
19,0.797901154,,,0.731104016
20,0.677975059,,,0.656555891
21,0.561726391,,,0.521539152
22,0.553254724,,,0.423554659
23,0.709251344,,,0.624207139
24,0.643409729,,,0.630173087
25,0.652982116,,,0.592324197
26,0.583819926,,,0.384187579
27,0.404020131,,,0
28,0.491003871,,,0.359429479
29,0.592367649,,,0.547361016
30,0.510460973,,,0.609623313
31,0.533383012,,,0.529495895
32,0.503965616,,,0.513383567
33,0.668862998,,,0.616621196
34,0.523602426,,,0.588756979
35,0.553917229,,,0.61316824
36,0.519300044,,,0.454162419
37,0.44718951,,,0.292148381
38,0.323371649,,,0
39,0.447297573,,,0.258090794
40,0.493601918,,,0.431183159
41,0.498805463,,,0.485626459
42,0.540318489,,,0.545225978
43,0.487433165,,,0.357214361
44,0.404330283,,,0.424585462
45,0.437925339,,,0.562785506
46,0.506466269,,,0.510047615
47,0.416117817,,,0.371260166
48,0.404125452,,,0.252110124
49,0.351736754,,,0
50,0.38767913,,,0.257731408
51,0.570346951,,,0.425683469
52,0.512415171,,,0.507510066
53,0.546869755,,,0.660589099
54,0.488871157,,,0.529924929
55,0.476679564,,,0.434471548
56,0.574484646,,,0.452233374
57,0.544932127,,,0.620411873
58,0.565530121,,,0.398324251
59,0.469860852,,,0.338896275
60,0.317046136,,,0
61,0.458895057,,,0.242691875
62,0.556067169,,,0.473610461
63,0.569829762,,,0.56618917
64,0.575336993,,,0.717708588
65,0.666407108,,,0.584456801
66,0.428691626,,,0.373364061
67,0.473360568,,,0.47460264
68,0.484007359,,,0.604453444
69,0.543145776,,,0.476814032
70,0.43630138,,,0.29494673
71,0.386473,,,0
72,0.546540141,,,0.290601909
73,0.731057525,,,0.497377515
74,0.731813192,,,0.710951447
75,0.620741069,,,0.608996451
76,0.609024465,,,0.466999352
77,0.479735851,,,0.358276308
78,0.599655986,,,0.597020507
79,0.500579476,,,0.59683311
80,0.632407784,,,0.457869589
81,0.485827267,,,0.317739844
82,0.441644788,,,0
83,0.618638515,,,0.327665389
84,0.862967372,,,0.698452115
85,1.083506107,,,1.090289116
86,0.954416692,,,0.935596466
87,0.860643804,,,0.858228743
88,0.553405285,,,0.516454041
89,0.717840135,,,0.718252659
90,0.840109944,,,0.934466958
91,1.078686714,,,0.823225737
92,0.727944791,,,0.500072002
93,0.480729848,,,0
94,0.607215166,,,0.364384145
95,0.802345157,,,0.620017767
96,0.940664172,,,0.779030442
97,0.844309211,,,0.759379208
98,0.5668872,,,0.528031409
99,0.517040849,,,0.432899535
100,0.73074317,,,0.665458441
101,0.781419873,,,0.855176389
102,0.793840647,,,0.681066632
103,0.692677319,,,0.390693486
104,0.464878738,,,0
105,0.59657836,,,0.350171506
106,0.699770451,,,0.570685089
107,0.692923665,,,0.733255506
108,0.731472254,,,0.708620846
109,0.543646514,,,0.48600477
110,0.481730759,,,0.48847875
111,0.599465013,,,0.652965128
112,0.670094013,,,0.640000343
113,0.702207804,,,0.526941538
114,0.567845583,,,0.388522625
115,0.440435916,,,0
116,0.76642406,,,0.370988905
117,0.784245849,,,0.566861153
118,0.803592324,,,0.864717126
119,0.74476707,,,0.847892284
120,0.562493086,,,0.554521859
121,0.518956661,,,0.511594892
122,0.850831449,,,0.854156375
123,0.768907845,,,0.758909404
124,0.843715429,,,0.737389028
125,0.727250218,,,0.472019017
