Step,"field=3,degree=1",,,"field=3,degree=2",,,"field=3,degree=3",,,"field=3,degree=4",,,"field=3,degree=5",,,"field=3,degree=6",,
0,2.806447983,,,2.587577105,,,2.920764446,,,2.552685976,,,2.923584938,,,2.771627903,,
1,2.64267993,,,2.574554682,,,2.497951746,,,2.589493752,,,3.073407173,,,2.599501848,,
2,2.135970116,,,2.265944958,,,2.177969456,,,2.58976531,,,2.353334665,,,2.500979662,,
3,1.989878654,,,2.288589001,,,2.070580721,,,2.308918238,,,2.27173686,,,2.038782597,,
4,1.677613854,,,1.835338593,,,1.685688019,,,1.815069437,,,1.842018366,,,1.740626216,,
5,1.397019267,,,1.482404709,,,1.320167303,,,1.266937852,,,1.213661551,,,1.181586027,,
6,1.406206489,,,1.394725084,,,1.388846636,,,1.381127715,,,1.432246089,,,1.585948229,,
7,1.379288912,,,1.303112984,,,1.209106803,,,1.377194047,,,1.320085049,,,1.218015313,,
8,1.232762337,,,1.116177082,,,1.204401255,,,1.141586304,,,1.106791973,,,1.070335865,,
9,1.250844717,,,0.969582379,,,0.97870779,,,0.94800806,,,0.840655148,,,0.712253392,,
10,0.989778519,,,0.752260029,,,0.6764431,,,0.788266063,,,0.653998613,,,0.571518004,,
11,1.210475683,,,1.168135524,,,0.77142179,,,0.760258675,,,0.741575003,,,0.701877654,,
12,0.995627999,,,0.739686549,,,0.82148242,,,0.721843898,,,0.663331032,,,0.7390576,,
13,0.898406386,,,0.653060377,,,0.753550649,,,0.651293397,,,0.626143217,,,0.642957807,,
14,0.964298248,,,0.604934573,,,0.547671854,,,0.464267313,,,0.507838488,,,0.388364792,,
15,0.909198284,,,0.409691453,,,0.494716495,,,0.223386168,,,0.243904054,,,0,,
16,0.871179461,,,0.491324782,,,0.556677282,,,0.426743448,,,0.425184011,,,0.362294257,,
17,0.90584892,,,0.61178863,,,0.577508688,,,0.581892133,,,0.564129591,,,0.537722945,,
18,0.784395158,,,0.611954212,,,0.600746274,,,0.663586736,,,0.688864112,,,0.589410424,,
19,0.865467489,,,0.668394327,,,0.634341359,,,0.605356514,,,0.629076421,,,0.565386593,,
20,0.838593841,,,0.719658852,,,0.670776784,,,0.625436246,,,0.589351356,,,0.420615613,,
21,0.990268826,,,0.841216326,,,0.782938123,,,0.849338531,,,0.717033029,,,0.818575144,,
22,0.872879207,,,0.899365306,,,0.776388943,,,0.893067718,,,0.904047787,,,0.951268792,,
23,0.962469935,,,0.838977218,,,0.887702167,,,0.893283486,,,0.949879825,,,0.924468398,,
24,1.002361774,,,1.087702274,,,1.021541595,,,1.069128156,,,1.055881858,,,1.175094247,,
25,1.166915774,,,1.113622904,,,1.083518982,,,1.050304294,,,0.971256435,,,0.80150646,,
